time,mark,price,price_next,signal,desired_pos,position,turnover,cost,gross_ret,strategy_ret,equity,event
2024-02-02,open,2303.85,2306.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-03,open,2306.59,2294.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-04,open,2294.43,2288.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-05,open,2288.62,2299.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-06,open,2299.04,2372.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-07,open,2372.14,2423.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-08,open,2423.68,2419.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-09,open,2419.61,2487.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-10,open,2487.21,2500.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-11,open,2500.02,2507.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-12,open,2507.03,2659.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-13,open,2659.01,2641.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-14,open,2641.73,2777.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-15,open,2777.51,2823.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-16,open,2823.61,2804.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-17,open,2804.16,2787.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-18,open,2787.69,2881.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-19,open,2881.5,2943.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-20,open,2943.98,3016.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2024-02-21,open,3016.13,2970.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
