time,mark,price,price_next,signal,desired_pos,position,turnover,cost,gross_ret,strategy_ret,equity,event
2025-07-14,open,118614.0,120035.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2025-07-15,open,120035.0,117553.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2025-07-16,open,117553.0,119345.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2025-07-17,open,119345.0,120334.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2025-07-18,open,120334.0,118033.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2025-07-21,open,118033.0,117274.0,1.0,-1.0,-1.0,1.0,0.0005,0.006472022784248743,0.005972022784248743,1.0059720227842488,
2025-07-22,open,117274.0,119435.0,1.0,-1.0,-1.0,0.0,0.0,-0.018093523673964884,-0.018093523673964884,0.9877704441746556,
2025-07-23,open,119435.0,118189.0,-1.0,-1.0,-1.0,0.0,0.0,0.010542436267334532,0.010542436267334532,0.9981839511291237,
2025-07-24,open,118189.0,118598.0,-1.0,-1.0,-1.0,0.0,0.0,-0.0034486247660162617,-0.0034486247660162617,0.9947415892342198,
2025-07-25,open,118598.0,119699.0,1.0,0.0,0.0,1.0,0.0005,0.0,-0.0005,0.9942442184396028,signal
2025-07-28,open,119699.0,118125.0,-1.0,1.0,1.0,1.0,0.0005,-0.013149650373018962,-0.013649650373018962,0.9806731324725066,
2025-07-29,open,118125.0,117616.0,-1.0,1.0,1.0,0.0,0.0,-0.004308994708994707,-0.004308994708994707,0.9764474171334293,
2025-07-30,open,117616.0,117312.0,-1.0,-1.0,-1.0,2.0,0.001,0.0025913802509547335,0.0015913802509547334,0.9780013162691513,signal
2025-07-31,open,117312.0,116525.0,-1.0,-1.0,-1.0,0.0,0.0,0.006753915468783456,0.006753915468783456,0.9846066544875921,
2025-08-01,open,116525.0,114424.0,-1.0,1.0,1.0,2.0,0.001,-0.01803046556532928,-0.01903046556532928,0.9658691314539719,signal
2025-08-04,open,114424.0,115170.0,-1.0,-1.0,-1.0,2.0,0.001,-0.006477381262481541,-0.007477381262481541,0.9586469597084286,signal
2025-08-05,open,115170.0,113576.0,-1.0,-1.0,-1.0,0.0,0.0,0.014034655208846836,0.014034655208846836,0.9721012392549457,
2025-08-06,open,113576.0,115083.0,-1.0,-1.0,-1.0,0.0,0.0,-0.01309489672671027,-0.01309489672671027,0.9593716739189951,
2025-08-07,open,115083.0,117152.0,-1.0,-1.0,-1.0,0.0,0.0,-0.01766081671674402,-0.01766081671674402,0.9424283866226758,
