time,mark,price,price_next,signal,desired_pos,position,turnover,cost,gross_ret,strategy_ret,equity,event
2025-07-14,open,119102.2,119855.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2025-07-15,open,119855.0,117741.0,-1.0,-1.0,-1.0,1.0,0.0005,0.017954663201433574,0.017454663201433573,1.0174546632014336,
2025-07-16,open,117741.0,118712.6,-1.0,-1.0,-1.0,0.0,0.0,-0.008184472414891175,-0.008184472414891175,1.0091273335770592,
2025-07-17,open,118712.6,119321.0,1.0,-1.0,-1.0,0.0,0.0,-0.005098850998566884,-0.005098850998566884,1.0039819436645687,
2025-07-18,open,119321.0,118011.9,1.0,1.0,1.0,2.0,0.001,-0.010971245631531845,-0.011971245631531846,0.9919630292073374,signal
2025-07-19,open,118011.9,117909.1,1.0,1.0,1.0,0.0,0.0,-0.0008710985925994841,-0.0008710985925994841,0.9910989316086841,
2025-07-20,open,117909.1,117319.0,0.0,1.0,1.0,0.0,0.0,-0.00500470277527354,-0.00500470277527354,0.9861387760350915,
2025-07-21,open,117319.0,117461.0,1.0,0.0,0.0,1.0,0.0005,0.0,-0.0005,0.985645706647074,signal
2025-07-22,open,117461.0,119977.5,-1.0,1.0,1.0,1.0,0.0005,0.021424132265177365,0.020924132265177364,1.0062694877795615,
2025-07-23,open,119977.5,118735.3,-1.0,-1.0,-1.0,2.0,0.001,0.010461926655341625,0.009461926655341624,1.01579073586844,signal
2025-07-24,open,118735.3,118387.5,-1.0,-1.0,-1.0,0.0,0.0,0.002937810157322307,0.002937810157322307,1.018774936209988,
2025-07-25,open,118387.5,117628.1,0.0,-1.0,-1.0,0.0,0.0,0.006455940374791247,0.006455940374791247,1.0253520864534915,
2025-07-26,open,117628.1,117937.6,-1.0,0.0,0.0,1.0,0.0005,0.0,-0.0005,1.024839410410265,signal
2025-07-27,open,117937.6,119455.1,-1.0,-1.0,-1.0,1.0,0.0005,-0.01270351789082258,-0.01320351789082258,1.011307924919693,
2025-07-28,open,119455.1,117979.7,-1.0,-1.0,-1.0,0.0,0.0,0.012505541207512794,0.012505541207512794,1.0239548778482606,
2025-07-29,open,117979.7,117916.9,-1.0,-1.0,-1.0,0.0,0.0,0.0005325784514349508,0.0005325784514349508,1.0245002141514443,
2025-07-30,open,117916.9,117820.7,-1.0,-1.0,-1.0,0.0,0.0,0.0008164948943607531,0.0008164948943607531,1.0253367133455704,
2025-07-31,open,117820.7,115762.4,-1.0,-1.0,-1.0,0.0,0.0,0.017780384649938252,0.017780384649938252,1.0435675945045582,
2025-08-01,open,115762.4,113290.1,1.0,-1.0,-1.0,0.0,0.0,0.021822736496834194,0.021822736496834194,1.0663410951360663,
2025-08-02,open,113290.1,112525.2,1.0,1.0,1.0,2.0,0.001,-0.006751693219442911,-0.007751693219442911,1.0580751460992868,signal
2025-08-03,open,112525.2,114224.1,1.0,1.0,1.0,0.0,0.0,0.015097951392221587,0.015097951392221587,1.0740499132244115,
